,soil,theta,theta_rel,f,k_mean,k_lo,cs_lo,cf_cs,cs_plant,i_k,i_cs
144,silt,0.14649999999999996,0.49493243243243235,0.3198360000000001,150,64.54155910000327,0.28540785312940753,2641.577144494902,75.39268616860008,8.131129255478079e-14,7.07385521918869e-10
145,silt,0.15799999999999997,0.5337837837837838,0.3198360000000001,150,71.27387073257562,0.3417630752594844,2244.88570330733,76.72190415683636,8.816023861185664e-14,7.668989223686147e-10
146,silt,0.16949999999999996,0.572635135135135,0.3198360000000001,150,77.547047214385,0.39643767225136034,1954.8478648623552,77.4975337151574,9.432167344540927e-14,8.174845647097825e-10
147,silt,0.18099999999999997,0.6114864864864864,0.3198360000000001,150,83.33562942054085,0.44813834706047717,1737.1511946060452,77.84840649448864,9.9827783072307e-14,8.597850507439609e-10
148,silt,0.19249999999999995,0.6503378378378377,0.3198360000000001,150,88.63870165022209,0.49610576989727706,1569.9927500106007,77.88824619771523,1.0472774050418001e-13,8.947642169825163e-10
149,silt,0.20399999999999996,0.689189189189189,0.3198360000000001,150,93.4722687160562,0.5400060681414905,1439.0644163403617,77.71035172702878,1.0907853238142008e-13,9.23489286901004e-10
150,silt,0.21549999999999997,0.7280405405405405,0.3198360000000001,150,97.86292266799195,0.5798070831611382,1334.7077489513688,77.38730067920619,1.1293879075581194e-13,9.469939561886782e-10
151,silt,0.22699999999999995,0.7668918918918918,0.3198360000000001,150,101.84302243603625,0.6156693680527223,1250.238019295923,76.97332512554082,1.1636501489344934e-13,9.6620712637075e-10
152,silt,0.23849999999999996,0.8057432432432432,0.3198360000000001,150,105.44727180849651,0.6478626485929594,1180.924219004636,76.50766923119154,1.1940950985363237e-13,9.819259429482237e-10
153,silt,0.24999999999999994,0.8445945945945944,0.3198360000000001,150,108.71043895956448,0.6767075642282452,1123.3501587742526,76.0179549719537,1.221194658899045e-13,9.94814717693216e-10
154,silt,0.26149999999999995,0.8834459459459458,0.3198360000000001,150,111.66593668821632,0.7025380235912727,1075.003876247751,75.5231098572052,1.2453674491641996e-13,1.0054168097477104e-09
155,silt,0.27299999999999996,0.9222972972972973,0.3198360000000001,150,114.34501516567079,0.7256786399295844,1034.007603351902,75.03572312772573,1.2669807309733018e-13,1.014171513392099e-09
